Trial,Target Size (px),Target Starting x Position (px),Distance Mouse Traveled (px),Time (ms),Misses
1,160,400,130.0,673,0
2,160,100,439.0,504,0
3,120,700,153.0,550,0
4,160,700,130.0,356,0
5,200,300,173.0,366,0
6,80,800,226.0,311,0
7,120,700,89.0,459,0
8,120,100,506.0,597,0
9,120,800,252.0,548,1
10,80,100,487.0,703,1
11,120,400,142.0,482,0
12,160,1000,435.0,371,0
13,80,100,487.0,407,1
14,80,900,328.0,657,1
15,120,300,264.0,603,1
16,120,200,354.0,476,0
17,120,700,139.0,523,1
18,200,100,429.0,554,1
19,200,800,339.0,345,1
20,80,300,336.0,329,1
21,120,700,167.0,195,0
22,120,900,288.0,377,1
23,80,900,317.0,983,4
24,120,100,440.0,1550,1
25,160,200,351.0,608,1
26,120,700,66.0,194,0
27,160,700,144.0,141,0
28,200,700,132.0,366,1
29,80,400,223.0,544,2
30,120,800,187.0,377,1
31,160,300,256.0,350,1
32,120,400,184.0,520,2
33,200,700,94.0,185,0
34,200,1000,380.0,652,2
35,120,1000,465.0,582,2
36,120,800,211.0,549,2
37,200,700,74.0,371,1
38,200,800,217.0,368,1
39,160,200,358.0,380,1
40,120,900,287.0,365,1
41,160,400,153.0,524,2
42,160,1000,379.0,374,1
43,160,700,101.0,573,2
44,80,300,315.0,381,1
45,120,1000,411.0,612,2
46,80,900,333.0,516,2
47,120,400,140.0,558,2
48,200,300,196.0,373,1
49,80,100,502.0,451,1
50,160,900,291.0,393,1
51,160,700,77.0,420,1
52,80,100,463.0,581,2
53,120,200,414.0,945,4
54,80,300,276.0,561,1
55,120,400,124.0,379,1
56,160,300,230.0,386,1
57,80,200,418.0,951,3
58,200,700,207.0,361,1
59,80,100,532.0,512,1
60,80,900,333.0,608,2
61,80,100,483.0,667,3
62,160,700,188.0,556,2
63,80,200,405.0,760,0
64,120,700,168.0,830,2
65,200,700,134.0,372,0
66,160,100,391.0,388,0
67,120,200,357.0,751,1
68,120,400,132.0,663,1
69,160,100,418.0,559,0
70,200,400,100.0,603,0
71,200,300,222.0,515,0
72,160,1000,461.0,507,0
73,120,800,247.0,783,0
74,120,900,331.0,625,1
75,120,1000,468.0,1236,3
76,200,300,257.0,899,2
77,80,700,127.0,580,1
78,160,100,419.0,631,1
79,120,700,147.0,754,1
80,80,100,490.0,536,0
81,200,100,446.0,728,1
82,120,900,357.0,608,1
83,160,400,228.0,680,0
84,160,900,318.0,403,0
85,80,200,399.0,404,0
86,200,900,386.0,387,0
87,120,300,262.0,578,1
88,120,200,367.0,689,0
89,80,700,135.0,1082,3
90,120,300,280.0,439,0
91,80,100,526.0,742,0
92,160,900,412.0,481,0
93,80,200,407.0,614,0
94,80,1000,424.0,482,0
95,160,700,94.0,760,1
96,160,900,282.0,366,0
97,160,700,118.0,527,1
98,160,900,333.0,650,1
99,160,800,253.0,471,0
100,200,300,151.0,605,1
101,80,900,312.0,526,0
102,200,100,354.0,469,0
103,200,900,434.0,433,0
104,80,1000,381.0,779,1
105,160,400,195.0,400,0
106,160,1000,400.0,556,0
107,120,200,359.0,426,0
108,120,800,265.0,547,1
109,80,1000,409.0,611,0
110,80,900,272.0,524,0
111,200,800,203.0,969,1
112,80,300,304.0,514,0
113,160,900,327.0,765,0
114,80,800,196.0,758,1
115,120,300,262.0,476,0
116,80,400,178.0,670,0
117,80,700,121.0,375,0
118,200,1000,495.0,480,0
119,120,1000,415.0,839,1
120,200,300,296.0,400,0
121,200,100,348.0,538,0
122,200,1000,444.0,451,0
123,80,700,83.0,575,0
124,80,900,331.0,787,1
125,80,200,387.0,578,0
126,160,900,376.0,433,0
127,80,700,113.0,732,0
128,160,1000,404.0,702,0
129,80,400,205.0,590,0
130,120,1000,421.0,486,0
131,160,200,295.0,458,0
132,160,1000,486.0,452,0
133,200,300,324.0,405,0
134,120,1000,429.0,532,0
135,200,700,99.0,478,0
136,200,100,436.0,898,1
137,80,1000,418.0,602,0
138,200,200,359.0,605,1
139,160,700,158.0,546,0
140,160,1000,431.0,650,1
141,80,700,70.0,543,0
142,120,800,213.0,383,0
143,120,800,213.0,471,0
144,120,800,201.0,836,0
145,200,100,401.0,540,0
146,120,400,183.0,523,0
147,80,700,125.0,382,0
148,200,100,370.0,544,0
149,120,300,279.0,745,0
150,200,300,250.0,460,0
151,120,1000,400.0,424,0
152,80,100,496.0,672,0
153,160,300,232.0,715,0
154,160,200,296.0,821,0
155,120,700,160.0,710,1
156,200,200,267.0,620,0
157,120,900,308.0,523,0
158,120,100,503.0,463,0
159,80,700,125.0,684,0
160,80,700,66.0,443,0
161,120,1000,373.0,465,0
162,80,300,306.0,709,0
163,160,700,143.0,556,0
164,160,300,239.0,357,0
165,120,700,157.0,663,1
166,160,100,432.0,557,0
167,200,800,290.0,399,0
168,120,900,305.0,734,1
169,160,1000,374.0,490,0
170,80,200,391.0,494,0
171,80,300,317.0,717,0
172,200,900,320.0,394,0
173,80,400,223.0,596,1
174,160,1000,428.0,435,0
175,200,900,298.0,606,0
176,200,100,406.0,494,0
177,120,200,376.0,504,0
178,80,1000,417.0,640,0
179,80,200,415.0,680,1
180,200,100,374.0,467,0
181,120,400,178.0,436,0
182,80,800,225.0,371,0
183,120,100,500.0,545,0
184,80,1000,380.0,470,0
185,160,200,363.0,366,0
186,80,700,124.0,828,1
187,200,400,64.0,477,0
188,120,200,341.0,597,0
189,160,300,265.0,482,0
190,80,400,196.0,474,0
191,80,900,325.0,480,0
192,80,100,507.0,603,0
193,160,900,331.0,403,0
194,200,200,321.0,325,0
195,80,700,137.0,495,1
196,160,800,190.0,386,0
197,200,200,259.0,297,0
198,120,900,266.0,322,0
199,80,900,318.0,800,1
200,80,100,482.0,689,1
201,80,100,493.0,962,0
202,80,200,396.0,696,0
203,200,300,243.0,480,0
204,120,700,143.0,596,1
205,160,700,72.0,379,0
206,160,100,431.0,528,0
207,160,100,505.0,510,0
208,200,300,205.0,626,0
209,200,1000,466.0,405,0
210,120,100,497.0,661,1
211,200,700,248.0,582,1
212,80,900,330.0,1263,2
213,200,800,326.0,516,0
214,120,300,227.0,468,0
215,160,300,205.0,411,0
216,200,1000,418.0,440,0
217,120,200,388.0,370,0
218,200,300,217.0,428,0
219,160,400,169.0,377,0
220,80,700,124.0,891,2
221,200,100,395.0,430,0
222,80,900,338.0,644,1
223,160,1000,507.0,963,0
224,120,400,205.0,613,1
225,160,100,408.0,677,1
226,200,300,242.0,497,0
227,80,800,237.0,407,0
228,120,800,166.0,483,0
229,80,800,229.0,978,2
230,120,1000,378.0,585,0
231,80,400,224.0,618,0
232,160,900,287.0,450,0
233,120,1000,430.0,729,0
234,160,1000,462.0,570,0
235,120,700,115.0,621,0
236,120,400,123.0,690,1
237,200,800,185.0,584,0
238,80,400,233.0,407,0
239,120,200,345.0,566,0
240,80,200,408.0,618,0
241,120,1000,439.0,646,0
242,80,800,202.0,566,0
243,120,400,183.0,396,0
244,200,200,312.0,421,0
245,120,300,338.0,486,0
246,160,700,157.0,400,0
247,80,100,488.0,675,0
248,160,900,401.0,755,1
249,200,700,134.0,530,0
250,200,800,259.0,690,1
251,120,100,449.0,693,0
252,160,800,311.0,774,1
253,160,900,373.0,630,0
254,160,100,446.0,648,0
255,120,100,524.0,765,0
256,200,800,303.0,639,0
257,80,200,410.0,647,0
258,120,200,387.0,599,0
259,80,1000,411.0,579,0
260,160,900,293.0,779,1
261,200,100,359.0,447,0
262,200,800,299.0,364,0
263,120,1000,375.0,660,0
264,200,400,161.0,578,1
265,200,200,328.0,444,0
266,200,400,134.0,471,0
267,200,700,173.0,350,0
268,120,700,155.0,415,0
269,160,200,299.0,716,1
270,200,100,411.0,533,0
271,120,900,352.0,566,0
272,120,200,408.0,421,0
273,160,200,327.0,755,1
274,80,200,374.0,749,1
275,120,400,170.0,422,0
276,120,400,195.0,645,1
277,120,100,478.0,589,0
278,200,900,393.0,455,0
279,160,200,292.0,436,0
280,160,800,291.0,375,0
281,160,100,398.0,733,1
282,200,800,246.0,367,0
283,200,400,235.0,311,0
284,120,200,370.0,702,0
285,120,100,480.0,691,0
286,120,1000,451.0,603,0
287,200,400,108.0,516,0
288,160,400,98.0,734,2
289,80,700,117.0,338,0
290,200,400,128.0,296,0
291,80,700,126.0,303,0
292,200,200,265.0,452,0
293,160,400,167.0,506,0
294,160,100,428.0,526,0
295,120,100,492.0,972,0
296,200,400,149.0,532,0
297,160,200,348.0,627,1
298,80,400,230.0,746,1
299,200,100,401.0,501,0
300,160,1000,394.0,434,0
301,160,700,88.0,748,1
302,80,300,317.0,479,0
303,200,1000,419.0,761,1
304,200,300,281.0,707,1
305,80,100,505.0,759,1
306,200,700,229.0,850,2
307,80,200,367.0,451,0
308,160,400,166.0,598,2
309,120,300,308.0,512,2
310,120,800,197.0,634,3
311,160,200,309.0,356,1
312,200,400,51.0,163,0
313,160,800,182.0,718,3
314,160,800,197.0,500,2
315,160,300,211.0,370,1
316,80,200,384.0,397,1
317,160,700,146.0,583,2
318,200,400,195.0,353,1
319,160,400,130.0,376,1
320,120,400,204.0,370,1
